Name,Type,Cat.,Power,Acc.,PP,Effect
Absorb,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.
Acid,Poison,Special,40,100,30,May lower opponent's Special Defense.
Acid Armor,Poison,Status,null,null,20,Sharply raises user's Defense.
Agility,Psychic,Status,null,null,30,Sharply raises user's Speed.
Amnesia,Psychic,Status,null,null,20,Sharply raises user's Special Defense.
Aurora Beam,Ice,Special,65,100,20,May lower opponent's Attack.
Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.
Barrier,Psychic,Status,null,null,20,Sharply raises user's Defense.
Bide,Normal,Physical,null,null,10,User takes damage for two turns then strikes back double.
Bind,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns."
Bite,Dark,Physical,60,100,25,May cause flinching.
Blizzard,Ice,Special,110,70,5,May freeze opponent.
Body Slam,Normal,Physical,85,100,15,May paralyze opponent.
Bone Club,Ground,Physical,65,85,20,May cause flinching.
Bonemerang,Ground,Physical,50,90,10,Hits twice in one turn.
Bubble,Water,Special,40,100,30,May lower opponent's Speed.
Bubble Beam,Water,Special,65,100,20,May lower opponent's Speed.
Clamp,Water,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Comet Punch,Normal,Physical,18,85,15,Hits 2-5 times in one turn.
Confuse Ray,Ghost,Status,null,100,10,Confuses opponent.
Confusion,Psychic,Special,50,100,25,May confuse opponent.
Constrict,Normal,Physical,10,100,35,May lower opponent's Speed by one stage.
Conversion,Normal,Status,null,null,30,Changes user's type to that of its first move.
Counter,Fighting,Physical,null,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
Crabhammer,Water,Physical,100,90,10,High critical hit ratio.
Cut,Normal,Physical,50,95,30,-
Defense Curl,Normal,Status,null,null,40,Raises user's Defense.
Dig,Ground,Physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Normal,Status,null,100,20,Opponent can't use its last attack for a few turns.
Dizzy Punch,Normal,Physical,70,100,10,May confuse opponent.
Double Kick,Fighting,Physical,30,100,30,Hits twice in one turn.
Double Slap,Normal,Physical,15,85,10,Hits 2-5 times in one turn.
Double Team,Normal,Status,null,null,15,Raises user's Evasiveness.
Double-Edge,Normal,Physical,120,100,15,User receives recoil damage.
Dragon Rage,Dragon,Special,null,100,10,Always inflicts 40 HP.
Dream Eater,Psychic,Special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
Drill Peck,Flying,Physical,80,100,20,-
Earthquake,Ground,Physical,100,100,10,Power is doubled if opponent is underground from using Dig.
Egg Bomb,Normal,Physical,100,75,10,-
Ember,Fire,Special,40,100,25,May burn opponent.
Explosion,Normal,Physical,250,100,5,User faints.
Fire Blast,Fire,Special,110,85,5,May burn opponent.
Fire Punch,Fire,Physical,75,100,15,May burn opponent.
Fire Spin,Fire,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Fissure,Ground,Physical,null,30,5,"One-Hit-KO, if it hits."
Flamethrower,Fire,Special,90,100,15,May burn opponent.
Flash,Normal,Status,null,100,20,Lowers opponent's Accuracy.
Fly,Flying,Physical,90,95,15,"Flies up on first turn, attacks on second turn."
Focus Energy,Normal,Status,null,null,30,Increases critical hit ratio.
Fury Attack,Normal,Physical,15,85,20,Hits 2-5 times in one turn.
Fury Swipes,Normal,Physical,18,80,15,Hits 2-5 times in one turn.
Glare,Normal,Status,null,100,30,Paralyzes opponent.
Growl,Normal,Status,null,100,40,Lowers opponent's Attack.
Growth,Normal,Status,null,null,20,Raises user's Attack and Special Attack.
Guillotine,Normal,Physical,null,30,5,"One-Hit-KO, if it hits."
Gust,Flying,Special,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.
Harden,Normal,Status,null,null,30,Raises user's Defense.
Haze,Ice,Status,null,null,30,Resets all stat changes.
Headbutt,Normal,Physical,70,100,15,May cause flinching.
High Jump Kick,Fighting,Physical,130,90,10,"If it misses, the user loses half their HP."
Horn Attack,Normal,Physical,65,100,25,-
Horn Drill,Normal,Physical,null,30,5,"One-Hit-KO, if it hits."
Hydro Pump,Water,Special,110,80,5,-
Hyper Beam,Normal,Special,150,90,5,User must recharge next turn.
Hyper Fang,Normal,Physical,80,90,15,May cause flinching.
Hypnosis,Psychic,Status,null,60,20,Puts opponent to sleep.
Ice Beam,Ice,Special,90,100,10,May freeze opponent.
Ice Punch,Ice,Physical,75,100,15,May freeze opponent.
Jump Kick,Fighting,Physical,100,95,10,"If it misses, the user loses half their HP."
Karate Chop,Fighting,Physical,50,100,25,High critical hit ratio.
Kinesis,Psychic,Status,null,80,15,Lowers opponent's Accuracy.
Leech Life,Bug,Physical,80,100,10,User recovers half the HP inflicted on opponent.
Leech Seed,Grass,Status,null,90,10,Drains HP from opponent each turn.
Leer,Normal,Status,null,100,30,Lowers opponent's Defense.
Lick,Ghost,Physical,30,100,30,May paralyze opponent.
Light Screen,Psychic,Status,null,null,30,Halves damage from Special attacks for 5 turns.
Lovely Kiss,Normal,Status,null,75,10,Puts opponent to sleep.
Low Kick,Fighting,Physical,null,100,20,"The heavier the opponent, the stronger the attack."
Meditate,Psychic,Status,null,null,40,Raises user's Attack.
Mega Drain,Grass,Special,40,100,15,User recovers half the HP inflicted on opponent.
Mega Kick,Normal,Physical,120,75,5,-
Mega Punch,Normal,Physical,80,85,20,-
Metronome,Normal,Status,null,null,10,User performs almost any move in the game at random.
Mimic,Normal,Status,null,null,10,Copies the opponent's last move.
Minimize,Normal,Status,null,null,10,Sharply raises user's Evasiveness.
Mirror Move,Flying,Status,null,null,20,User performs the opponent's last move.
Mist,Ice,Status,null,null,30,User's stats cannot be changed for a period of time.
Night Shade,Ghost,Special,null,100,15,Inflicts damage equal to user's level.
Pay Day,Normal,Physical,40,100,20,Money is earned after the battle.
Peck,Flying,Physical,35,100,35,-
Petal Dance,Grass,Special,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pin Missile,Bug,Physical,25,95,20,Hits 2-5 times in one turn.
Poison Gas,Poison,Status,null,90,40,Poisons opponent.
Poison Powder,Poison,Status,null,75,35,Poisons opponent.
Poison Sting,Poison,Physical,15,100,35,May poison the opponent.
Pound,Normal,Physical,40,100,35,-
Psybeam,Psychic,Special,65,100,20,May confuse opponent.
Psychic,Psychic,Special,90,100,10,May lower opponent's Special Defense.
Psywave,Psychic,Special,null,100,15,Inflicts damage 50-150% of user's level.
Quick Attack,Normal,Physical,40,100,30,User attacks first.
Rage,Normal,Physical,20,100,20,Raises user's Attack when hit.
Razor Leaf,Grass,Physical,55,95,25,High critical hit ratio.
Razor Wind,Normal,Special,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio."
Recover,Normal,Status,null,null,5,User recovers half its max HP.
Reflect,Psychic,Status,null,null,20,Halves damage from Physical attacks for 5 turns.
Rest,Psychic,Status,null,null,5,"User sleeps for 2 turns, but user is fully healed."
Roar,Normal,Status,null,null,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Rock Slide,Rock,Physical,75,90,10,May cause flinching.
Rock Throw,Rock,Physical,50,90,15,-
Rolling Kick,Fighting,Physical,60,85,15,May cause flinching.
Sand Attack,Ground,Status,null,100,15,Lowers opponent's Accuracy.
Scratch,Normal,Physical,40,100,35,-
Screech,Normal,Status,null,85,40,Sharply lowers opponent's Defense.
Seismic Toss,Fighting,Physical,null,100,20,Inflicts damage equal to user's level.
Self-Destruct,Normal,Physical,200,100,5,User faints.
Sharpen,Normal,Status,null,null,30,Raises user's Attack.
Sing,Normal,Status,null,55,15,Puts opponent to sleep.
Skull Bash,Normal,Physical,130,100,10,"Raises Defense on first turn, attacks on second."
Sky Attack,Flying,Physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
Slam,Normal,Physical,80,75,20,-
Slash,Normal,Physical,70,100,20,High critical hit ratio.
Sleep Powder,Grass,Status,null,75,15,Puts opponent to sleep.
Sludge,Poison,Special,65,100,20,May poison opponent.
Smog,Poison,Special,30,70,20,May poison opponent.
Smokescreen,Normal,Status,null,100,20,Lowers opponent's Accuracy.
Soft-Boiled,Normal,Status,null,null,5,User recovers half its max HP.
Solar Beam,Grass,Special,120,100,10,"Charges on first turn, attacks on second."
Sonic Boom,Normal,Special,null,90,20,Always inflicts 20 HP.
Spike Cannon,Normal,Physical,20,100,15,Hits 2-5 times in one turn.
Splash,Normal,Status,null,null,40,Doesn't do ANYTHING.
Spore,Grass,Status,null,100,15,Puts opponent to sleep.
Stomp,Normal,Physical,65,100,20,May cause flinching.
Strength,Normal,Physical,80,100,15,-
String Shot,Bug,Status,null,95,40,Sharply lowers opponent's Speed.
Struggle,Normal,Physical,50,null,null,Only usable when all PP are gone. Hurts the user.
Stun Spore,Grass,Status,null,75,30,Paralyzes opponent.
Submission,Fighting,Physical,80,80,20,User receives recoil damage.
Substitute,Normal,Status,null,null,10,Uses HP to creates a decoy that takes hits.
Super Fang,Normal,Physical,null,90,10,Always takes off half of the opponent's HP.
Supersonic,Normal,Status,null,55,20,Confuses opponent.
Surf,Water,Special,90,100,15,Hits all adjacent Pokémon.
Swift,Normal,Special,60,null,20,Ignores Accuracy and Evasiveness.
Swords Dance,Normal,Status,null,null,20,Sharply raises user's Attack.
Tackle,Normal,Physical,40,100,35,-
Tail Whip,Normal,Status,null,100,30,Lowers opponent's Defense.
Take Down,Normal,Physical,90,85,20,User receives recoil damage.
Teleport,Psychic,Status,null,null,20,Allows user to flee wild battles; also warps player to last PokéCenter.
Thrash,Normal,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Thunder,Electric,Special,110,70,10,May paralyze opponent.
Thunder Punch,Electric,Physical,75,100,15,May paralyze opponent.
Thunder Shock,Electric,Special,40,100,30,May paralyze opponent.
Thunder Wave,Electric,Status,null,90,20,Paralyzes opponent.
Thunderbolt,Electric,Special,90,100,15,May paralyze opponent.
Toxic,Poison,Status,null,90,10,Badly poisons opponent.
Transform,Normal,Status,null,null,10,User takes on the form and attacks of the opponent.
Tri Attack,Normal,Special,80,100,10,"May paralyze, burn or freeze opponent."
Twineedle,Bug,Physical,25,100,20,Hits twice in one turn. May poison opponent.
Vine Whip,Grass,Physical,45,100,25,-
Vise Grip,Normal,Physical,55,100,30,-
Water Gun,Water,Special,40,100,25,-
Waterfall,Water,Physical,80,100,15,May cause flinching.
Whirlwind,Normal,Status,null,null,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Wing Attack,Flying,Physical,60,100,35,-
Withdraw,Water,Status,null,null,40,Raises user's Defense.
Wrap,Normal,Physical,15,90,20,"Traps opponent, damaging them for 4-5 turns."
Aeroblast,Flying,Special,100,95,5,High critical hit ratio.
Ancient Power,Rock,Special,60,100,5,May raise all user's stats at once.
Attract,Normal,Status,null,100,15,"If opponent is the opposite gender, it's less likely to attack."
Baton Pass,Normal,Status,null,null,40,User switches out and gives stat changes to the incoming Pokémon.
Beat Up,Dark,Physical,null,100,10,Each Pokémon in user's party attacks.
Belly Drum,Normal,Status,null,null,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bone Rush,Ground,Physical,25,90,10,Hits 2-5 times in one turn.
Charm,Fairy,Status,null,100,20,Sharply lowers opponent's Attack.
Conversion 2,Normal,Status,null,null,30,User changes type to become resistant to opponent's last move.
Cotton Spore,Grass,Status,null,100,40,Sharply lowers opponent's Speed.
Cross Chop,Fighting,Physical,100,80,5,High critical hit ratio.
Crunch,Dark,Physical,80,100,15,May lower opponent's Defense.
Curse,Ghost,Status,null,null,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Destiny Bond,Ghost,Status,null,null,5,"If the user faints, the opponent also faints."
Detect,Fighting,Status,null,null,5,"Protects the user, but may fail if used consecutively."
Dragon Breath,Dragon,Special,60,100,20,May paralyze opponent.
Dynamic Punch,Fighting,Physical,100,50,5,Confuses opponent.
Encore,Normal,Status,null,100,5,Forces opponent to keep using its last move for 3 turns.
Endure,Normal,Status,null,null,10,"Always left with at least 1 HP, but may fail if used consecutively."
Extreme Speed,Normal,Physical,80,100,5,User attacks first.
False Swipe,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.
Feint Attack,Dark,Physical,60,null,20,Ignores Accuracy and Evasiveness.
Flail,Normal,Physical,null,100,15,"The lower the user's HP, the higher the power."
Flame Wheel,Fire,Physical,60,100,25,May burn opponent.
Foresight,Normal,Status,null,null,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
Frustration,Normal,Physical,null,100,20,Power decreases with higher Friendship.
Fury Cutter,Bug,Physical,40,95,20,Power increases each turn.
Future Sight,Psychic,Special,120,100,10,Damage occurs 2 turns later.
Giga Drain,Grass,Special,75,100,10,User recovers half the HP inflicted on opponent.
Heal Bell,Normal,Status,null,null,5,Heals the user's party's status conditions.
Hidden Power,Normal,Special,60,100,15,Type and power depends on user's IVs.
Icy Wind,Ice,Special,55,95,15,Lowers opponent's Speed.
Iron Tail,Steel,Physical,100,75,15,May lower opponent's Defense.
Lock-On,Normal,Status,null,null,5,User's next attack is guaranteed to hit.
Mach Punch,Fighting,Physical,40,100,30,User attacks first.
