Name,Type,Cat.,Power,Acc.,PP,Effect,Prob. (%)
10000000 Volt Thunderbolt,Electric,Special,195,Null,1,Pikachu-exclusive Z-Move. High critical hit ratio.,Null
Absorb,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.,Null
Accelerock,Rock,Physical,40,100,20,User attacks first.,Null
Acid,Poison,Special,40,100,30,May lower opponent's Special Defense.,10
Acid Armor,Poison,Status,Null,Null,20,Sharply raises user's Defense.,Null
Acid Downpour,Poison,Null,Null,Null,1,Poison type Z-Move.,Null
Acid Spray,Poison,Special,40,100,20,Sharply lowers opponent's Special Defense.,100
Acrobatics,Flying,Physical,55,100,15,Stronger when the user does not have a held item.,Null
Acupressure,Normal,Status,Null,Null,30,Sharply raises a random stat.,Null
Aerial Ace,Flying,Physical,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Aeroblast,Flying,Special,100,95,5,High critical hit ratio.,Null
After You,Normal,Status,Null,Null,15,Gives target priority in the next turn.,Null
Agility,Psychic,Status,Null,Null,30,Sharply raises user's Speed.,Null
Air Cutter,Flying,Special,60,95,25,High critical hit ratio.,Null
Air Slash,Flying,Special,75,95,15,May cause flinching.,30
All-Out Pummeling,Fighting,Null,Null,Null,1,Fighting type Z-Move.,Null
Alluring Voice,Fairy,Special,80,100,10,,Null
Ally Switch,Psychic,Status,Null,Null,15,User switches with opposite teammate.,Null
Amnesia,Psychic,Status,Null,Null,20,Sharply raises user's Special Defense.,Null
Anchor Shot,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,Null
Ancient Power,Rock,Special,60,100,5,May raise all user's stats at once.,10
Apple Acid,Grass,Special,80,100,10,Lowers target's Special Defense.,100
Aqua Cutter,Water,Physical,70,100,20,High critical hit ratio.,Null
Aqua Jet,Water,Physical,40,100,20,User attacks first.,Null
Aqua Ring,Water,Status,Null,Null,20,Restores a little HP each turn.,Null
Aqua Step,Water,Physical,80,100,10,Raises user's Speed.,100
